UTC_Time,Account,Operation,Coin,Change,Conversion Pair,PairPrice,ConvertedPrice,audPrice
29/06/2021 4:08,Spot,POS savings interest,BNB,0.001552,N/A,1,392.47,0.60911344
30/06/2021 4:12,Spot,POS savings interest,BNB,0.001552,N/A,1,392.87,0.60973424
01/07/2021 4:09,Spot,POS savings interest,BNB,0.001552,N/A,1,390.59,0.6061956799999999
04/04/2021 1:54,Spot,Savings Interest,ADA,0.104249,ADABNB,280.19052956010086,433.576,0.161318316129256
05/04/2021 1:56,Spot,Savings Interest,ADA,0.104249,ADABNB,292.3121894182988,453.653,0.16178891373333698
06/04/2021 1:55,Spot,Savings Interest,ADA,0.104253,ADABNB,303.1221582297666,477.009,0.16405801399482298
27/06/2021 3:06,Spot,Savings Interest,BTC,0.00000065,BNBBTC,0.008624,375.3,0.02828675788497217
28/06/2021 3:08,Spot,Savings Interest,BTC,0.00000065,BNBBTC,0.008345,378.89,0.02951210305572199
29/06/2021 3:16,Spot,Savings Interest,BTC,0.00000065,BNBBTC,0.008534,389.63,0.02967652917740802
30/06/2021 2:38,Spot,Savings Interest,BTC,0.00000065,BNBBTC,0.00837,398.23,0.030925866188769413
01/07/2021 2:42,Spot,Savings Interest,BTC,0.00000065,BNBBTC,0.008622,393.04,0.02963071213175598
04/04/2021 1:51,Spot,Savings Interest,BUSD,0.439926,BNBUSDT,326.9339,432.04,0.5813579718713783
05/04/2021 1:44,Spot,Savings Interest,BUSD,0.439926,BNBUSDT,345.2383,454.648,0.5793432421837322
06/04/2021 1:38,Spot,Savings Interest,BUSD,0.439987,BNBUSDT,367.2725,480.59,0.5757396819255458
28/06/2021 3:04,Spot,Savings Interest,BUSD,0.192336,BNBUSDT,287.44,378.47,0.2532473069858058
29/06/2021 3:36,Spot,Savings Interest,BUSD,0.192348,BNBUSDT,294.81,390.39,0.25470891665818657
30/06/2021 2:34,Spot,Savings Interest,BUSD,0.192359,BNBUSDT,299.65,398.41,0.2557575477724012
15/04/2021 1:52,Spot,Savings Interest,DOGE,0.13746,DOGEAUD,0.1665,0.022887090000000002,0.022887090000000002
16/04/2021 1:44,Spot,Savings Interest,DOGE,0.137479,DOGEAUD,0.31499,0.043304510209999994,0.043304510209999994
17/04/2021 1:58,Spot,Savings Interest,DOGE,0.137498,DOGEAUD,0.45953,0.06318445594000001,0.06318445594000001